Team,Position,PlayerID,Player,,,,Workload
Diamondbacks,RP,805299,Brandyn Garcia,8,1,Diamondbacks 1,FALSE
Diamondbacks,RP,666661,Juan Morillo,8,2,Diamondbacks 2,FALSE
Diamondbacks,RP,656464,Kevin Ginkel,8,3,Diamondbacks 3,FALSE
Diamondbacks,RP,664199,Taylor Clarke,8,4,Diamondbacks 4,FALSE
Diamondbacks,RP,642528,Jonathan Loaisiga,8,5,Diamondbacks 5,FALSE
Diamondbacks,RP,642701,Dennis Santana,8,6,Diamondbacks 6,FALSE
Diamondbacks,RP,679885,Justin Martinez,8,7,Diamondbacks 7,FALSE
Athletics,RP,663687,Hogan Harris,8,1,Athletics 1,TRUE
Athletics,RP,680723,Drew Rom,8,2,Athletics 2,FALSE
Athletics,RP,665660,Elvis Alvarado,8,3,Athletics 3,FALSE
Athletics,RP,656240,Scott Blewett,8,4,Athletics 4,FALSE
Athletics,RP,696522,Hayden Juenger,8,5,Athletics 5,FALSE
Athletics,RP,688497,Taylor Rashi,8,6,Athletics 6,FALSE
Athletics,RP,678022,Jack Perkins,8,7,Athletics 7,FALSE
Athletics,RP,665622,Luis Medina,8,8,Athletics 8,TRUE
Athletics,RP,669620,Brady Basso,8,9,Athletics 9,FALSE
Braves,RP,628452,Raisel Iglesias,8,1,Braves 1,FALSE
Braves,RP,669276,Dylan Lee,8,2,Braves 2,FALSE
Braves,RP,689266,Dylan Dodd,8,3,Braves 3,FALSE
Braves,RP,682989,Victor Mederos,8,4,Braves 4,FALSE
Braves,RP,678061,Ray Kerr,8,5,Braves 5,FALSE
Braves,RP,608718,Brent Suter,8,6,Braves 6,FALSE
Braves,RP,800311,Didier Fuentes,8,7,Braves 7,FALSE
Braves,RP,700363,AJ Smith-Shawver,8,8,Braves 8,FALSE
Orioles,RP,552640,Andrew Kittredge,8,1,Orioles 1,FALSE
Orioles,RP,670329,Rico Garcia,8,2,Orioles 2,FALSE
Orioles,RP,666974,Yennier Cano,8,3,Orioles 3,FALSE
Orioles,RP,695380,Alex Hoppe,8,4,Orioles 4,FALSE
Orioles,RP,677020,Josh Walker,8,5,Orioles 5,TRUE
Orioles,RP,664991,Grant Wolfram,8,6,Orioles 6,FALSE
Orioles,RP,676742,Cam Sanders,8,7,Orioles 7,FALSE
Orioles,RP,544150,Albert Suarez,8,8,Orioles 8,FALSE
Red Sox,RP,547973,Aroldis Chapman,8,1,Red Sox 1,FALSE
Red Sox,RP,594027,Tyron Guerrero,8,2,Red Sox 2,FALSE
Red Sox,RP,669711,Greg Weissert,8,3,Red Sox 3,FALSE
Red Sox,RP,681544,Wyatt Olds,8,4,Red Sox 4,FALSE
Red Sox,RP,678394,Brayan Bello,8,5,Red Sox 5,FALSE
Red Sox,RP,663558,Jovani Moran,8,6,Red Sox 6,FALSE
Red Sox,RP,669062,Erik Miller,8,7,Red Sox 7,FALSE
Red Sox,RP,687941,Alec Gamboa,8,8,Red Sox 8,FALSE
Cubs,RP,657097,Jacob Webb,8,1,Cubs 1,TRUE
Cubs,RP,666171,Ryan Zeferjahn,8,2,Cubs 2,FALSE
Cubs,RP,663423,Trent Thornton,8,3,Cubs 3,FALSE
Cubs,RP,573204,Caleb Thielbar,8,4,Cubs 4,TRUE
Cubs,RP,665871,Javier Assad,8,5,Cubs 5,TRUE
Cubs,RP,669020,Ryan Rolison,8,6,Cubs 6,FALSE
White Sox,RP,691799,Grant Taylor,8,1,White Sox 1,FALSE
